"jd","magnitude","uncertainty","h_quncertainty","band","observer_code","comment_code_s","comp_star_1","comp_star_2","charts","comments","transfomed","airmass","validation_flag","cmag","kmag","hjd","star_name","observer_affiliation","measurement_method","grouping_method","ads_reference","digitizer","credit"
2425663.36,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425677.26,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425685.34,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425698.3,"0.8",NA,NA,"Vis.","AN","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425703.322,"0.7",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425718.292,"0.6",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425721.308,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425726.283,"0.5",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425847.6,"0.5",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425862.6,"0.5",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425871.6,"0.7",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425883.7,"0.7",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425886.667,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425894.645,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425901.637,"0.7",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425915.601,"0.8",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425928.7,"0.6",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425940.7,"0.6",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425958.6,"0.5",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425970.5,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425975.4,"0.4",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2425998.3,"0.3",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2426015.3,"0.2",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2426039.3,"0.3",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2426053.3,"0.3",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2426063.3,"0.3",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2426067.3,"0.2",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2426093.3,"0.2",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2426211.3,"0.3",NA,NA,"Vis.","SRC","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2426228.6,"0.5",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2426235.3,"0.3",NA,NA,"Vis.","SRC","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
2426239.6,"0.5",NA,NA,"Vis.","L","","","","","",NA,"","V","",NA,NA,"ALF ORI","","STD",NA,NA,"",""
